id,symbol,name,publisher,instrument_class,currency,exchange,mic,asset,security_type,min_lot_size,expiration,max_price_variation,unit_of_measure_qty,min_price_increment,display_factor,price_display_format,price_ratio REAL,underlying_symbol,maturity_year,maturity_month,maturity_day,group,tick_rule,strike_price,strike_price_currency
5840,CMS,CMS ENERGY CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
2006947,CMS PRB,CONSUMERS PWR CO: CMS PRB,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
5941,COF,CAPITAL ONE FINANCIAL CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Diversified Finan Serv,,,
5994,CPK,CHESAPEAKE UTILITIES CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Gas,,,
6004,CPT,CAMDEN PROPERTY TRUST,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
6032,CRD A,CRAWFORD & COMPANY -CL A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Insurance,,,
6037,CRD B,CRAWFORD & CO -CL B,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Insurance,,,
2730877,CRL,CHARLES RIVER LABORATORIES,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Services,,,
6077,CRS,CARPENTER TECHNOLOGY,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Iron/Steel,,,
6080,CRT,CROSS TIMBERS ROYALTY TRUST,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Oil&amp;Gas,,,
6120,CSL,CARLISLE COS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Building Materials,,,
6257,CX,CEMEX SAB-SPONS ADR PART CER,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Building Materials,,,
6283,CYD,CHINA YUCHAI INTL LTD,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Auto Parts&amp;Equipment,,,
6190,CTS,CTS CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electronics,,,
6207,CMI,CUMMINS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Auto Manufacturers,,,
2585769,CVS,CVS HEALTH CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pharmaceuticals,,,
6233,TSI,TCW STRATEGIC INCOME FUND,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
6236,CW,CURTISS-WRIGHT CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Aerospace/Defense,,,
6255,CWT,CALIFORNIA WATER SERVICE GRP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Water,,,
6327,D,DOMINION ENERGY INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
6353,DCI,DONALDSON CO INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Miscellaneous Manufactur,,,
2585711,DCO,DUCOMMUN INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Aerospace/Defense,,,
2007097,CTA PRA,EIDP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
2007100,CTA PRB,EIDP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
6390,DDS,DILLARDS INC-CL A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
6393,DE,DEERE & CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Machinery-Diversified,,,
7788,DEO,DIAGEO PLC-SPONSORED ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Beverages,,,
2459465,DGX,QUEST DIAGNOSTICS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Services,,,
6437,TGT,TARGET CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
268627,DHI,DR HORTON INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Home Builders,,,
6442,DHR,DANAHER CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Products,,,
6459,DIS,WALT DISNEY CO/THE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Media,,,
6482,DLX,DELUXE CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Commercial Services,,,
6497,MCO,MOODY'S CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Commercial Services,,,
6500,DNP,DNP SELECT INCOME FUND INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
6517,DOV,DOVER CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Machinery-Diversified,,,
6585,DTE,DTE ENERGY COMPANY,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
6588,DTF,DTF TAX-FREE INCOME 2028 TER,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
661440,DRI,DARDEN RESTAURANTS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
1448477,EL,ESTEE LAUDER COMPANIES-CL A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Cosmetics/Personal Care,,,
6808,CALY,CALLAWAY GOLF COMPANY,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Leisure Time,,,
6630,DY,DYCOM INDUSTRIES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Engineering&amp;Construction,,,
2007205,E,ENI SPA-SPONSORED ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Oil&amp;Gas,,,
6647,EAT,BRINKER INTL INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
6648,EBF,ENNIS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Commercial Services,,,
6682,ECL,ECOLAB INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
6691,ED,CONSOLIDATED EDISON INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
6735,EFX,EQUIFAX INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Commercial Services,,,
6737,RVTY,REVVITY INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Products,,,
6747,EGP,EASTGROUP PROPERTIES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
11899,EIX,EDISON INTL,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
6820,EME,EMCOR GROUP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Engineering&amp;Construction,,,
6827,EMF,TEMPLETON EMERGING MARKETS,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
6832,EMN,EASTMAN CHEMICAL CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
6842,EMR,EMERSON ELECTRIC CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electrical Compo&amp;Equip,,,
6890,EOG,EOG RESOURCES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Oil&amp;Gas,,,
6917,EQR,EQUITY RESIDENTIAL,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
6929,ESE,ESCO TECHNOLOGIES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electronics,,,
6946,ESS,ESSEX PROPERTY TRUST INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
6957,ETD,ETHAN ALLEN INTERIORS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Home Furnishings,,,
6969,ETR,ENTERGY CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
7002,NEU,NEWMARKET CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
1847145,FDS,FACTSET RESEARCH SYSTEMS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Media,,,
5100583,FDX,FEDEX CORPORATION,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Transportation,,,
3265376,FE,FIRSTENERGY CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
7280,FC,FRANKLIN COVEY CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Commercial Services,,,
7077,FCF,FIRST COMMONWEALTH FINL CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
7238,FMC,FMC CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
7089,FCX,FREEPORT-MCMORAN INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Mining,,,
269280,FICO,FAIR ISAAC CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Software,,,
2030556,FMS,FRESENIUS MEDICAL CARE-ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Services,,,
5021349,FMX,FOMENTO ECONOMICO MEX-SP ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Beverages,,,
7330,FR,FIRST INDUSTRIAL REALTY TR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
7381,FSS,FEDERAL SIGNAL CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Miscellaneous Manufactur,,,
7540,GF,NEW GERMANY FUND INC/THE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
611152,GFF,GRIFFON CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Building Materials,,,
7563,GGG,GRACO INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Machinery-Diversified,,,
7568,GGT,GABELLI MULTIMEDIA TRUST INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
7496,GD,GENERAL DYNAMICS CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Aerospace/Defense,,,
2585819,GEL,GENESIS ENERGY L.P.,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pipelines,,,
7442,GAB,GABELLI EQUITY TRUST,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
7448,GAM,GENERAL AMERICAN INVESTORS,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
7472,GBX,GREENBRIER COMPANIES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Trucking&amp;Leasing,,,
7490,GCO,GENESCO INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
2007547,GTN A,GRAY MEDIA INC-A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Media,,,
2585360,GTN,GRAY MEDIA INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Media,,,
661455,GCV,GABELLI CONVERT & INC SEC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
7386,FT,FRANKLIN UNIVERSAL TRUST,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
269555,FHN,FIRST HORIZON CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
7616,GIS,GENERAL MILLS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Food,,,
7655,GLW,CORNING INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Telecommunications,,,
7690,GATX,GATX CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Trucking&amp;Leasing,,,
4627828,GS,GOLDMAN SACHS GROUP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
7745,GPC,GENUINE PARTS CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
7765,GAP,GAP INC/THE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
4875668,HSBC,HSBC HOLDINGS PLC-SPONS ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
7930,HD,HOME DEPOT INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
2743636,GVA,GRANITE CONSTRUCTION INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Engineering&amp;Construction,,,
